id,title,authors,year,journal,doi,url,source_database,open_access_pdf_path,screening_status,reason_for_inclusion,notes
castrolopez2026contracting,Contracting for circularity: How circular economy clauses shape market and financial performance,"Castro-Lopez, Adrian and Iglesias, Victor and Santos-Vijande, Maria Leticia",2026,Journal of Purchasing and Supply Management,10.1016/j.pursup.2026.101153,,seed;OpenAlex,,included,Circular-economy contract clauses and firm performance.,No legal OA PDF URL found by API.
rahimpour2020rationality,Rationality of using phosphorus primary and secondary sources in circular economy: Game-theory-based analysis,"Rahimpour Golroudbary, Saeed and El Wali, Mohammad and Kraslawski, Andrzej",2020,Environmental Science & Policy,10.1016/j.envsci.2020.02.004,,seed,,included,Game-theoretic circular-economy analysis.,No legal OA PDF URL found by API.
uruena2026digital,Digital-enabled dynamic capabilities for circular economy: The role of firm size,"Uruena, Alberto and Neri, Alessandra and Cagno, Enrico and Susur, Ebru",2026,Journal of Cleaner Production,10.1016/j.jclepro.2026.148441,,seed,,included,Supplier capability and firm-size framing for digital circularity.,No legal OA PDF URL found by API.
deangelis2018circular,Circular economy in supply chains: A review,"De Angelis, Roberta and Howard, Mickey and Miemczyk, Joe",2018,International Journal of Production Research,10.1080/00207543.2018.1449244,,seed,,included,Circular supply-chain governance foundation.,No legal OA PDF URL found by API.
williamson2008outsourcing,Outsourcing: Transaction cost economics and supply chain management,"Williamson, Oliver E.",2008,Journal of Supply Chain Management,10.1111/j.1745-493X.2008.00051.x,,seed;Crossref,,included,Transaction cost economics foundation.,No legal OA PDF URL found by API.
poppo2002do,Do formal contracts and relational governance function as substitutes or complements?,"Poppo, Laura and Zenger, Todd",2002,Strategic Management Journal,10.1002/smj.249,,seed,,included,Formal contracts and relational governance complementarity.,No legal OA PDF URL found by API.
malhotra2011trust,Trust and collaboration in the aftermath of conflict: The effects of contract structure,"Malhotra, Deepak and Lumineau, Fabrice",2011,Academy of Management Journal,10.5465/amj.2009.0683,,seed,,included,"Contract structure, trust, and collaboration.",No legal OA PDF URL found by API.
cachon2003supply,Supply chain coordination with contracts,"Cachon, Gerard P.",2003,Handbooks in Operations Research and Management Science,10.1016/S0927-0507(03)11006-7,,seed,,included,Canonical supply-chain contract theory.,No legal OA PDF URL found by API.
cachon2005supply,Supply chain coordination with revenue-sharing contracts: Strengths and limitations,"Cachon, Gerard P. and Lariviere, Martin A.",2005,Management Science,10.1287/mnsc.1040.0215,,seed,,included,Incentive contracts in supply-chain coordination.,No legal OA PDF URL found by API.
govindan2015reverse,Reverse logistics and closed-loop supply chain: A comprehensive review to explore the future,"Govindan, Kannan and Soleimani, Hamed and Kannan, Devika",2015,European Journal of Operational Research,10.1016/j.ejor.2014.07.012,,seed,,included,Closed-loop and reverse supply-chain context.,No legal OA PDF URL found by API.
