experiment,contract,q,c,r,R
base_grid,basic_compliance,0.2,3.5,0.5,9.0
base_grid,basic_compliance,0.2,3.5,0.5,12.0
base_grid,basic_compliance,0.2,3.5,0.5,15.0
base_grid,basic_compliance,0.2,3.5,1.5,9.0
base_grid,basic_compliance,0.2,3.5,1.5,12.0
base_grid,basic_compliance,0.2,3.5,1.5,15.0
base_grid,basic_compliance,0.2,3.5,2.5,9.0
base_grid,basic_compliance,0.2,3.5,2.5,12.0
base_grid,basic_compliance,0.2,3.5,2.5,15.0
base_grid,basic_compliance,0.2,3.5,3.5,9.0
base_grid,basic_compliance,0.2,3.5,3.5,12.0
base_grid,basic_compliance,0.2,3.5,3.5,15.0
base_grid,basic_compliance,0.2,5.0,0.5,9.0
base_grid,basic_compliance,0.2,5.0,0.5,12.0
base_grid,basic_compliance,0.2,5.0,0.5,15.0
base_grid,basic_compliance,0.2,5.0,1.5,9.0
base_grid,basic_compliance,0.2,5.0,1.5,12.0
base_grid,basic_compliance,0.2,5.0,1.5,15.0
base_grid,basic_compliance,0.2,5.0,2.5,9.0
base_grid,basic_compliance,0.2,5.0,2.5,12.0
base_grid,basic_compliance,0.2,5.0,2.5,15.0
base_grid,basic_compliance,0.2,5.0,3.5,9.0
base_grid,basic_compliance,0.2,5.0,3.5,12.0
base_grid,basic_compliance,0.2,5.0,3.5,15.0
base_grid,basic_compliance,0.2,6.5,0.5,9.0
base_grid,basic_compliance,0.2,6.5,0.5,12.0
base_grid,basic_compliance,0.2,6.5,0.5,15.0
base_grid,basic_compliance,0.2,6.5,1.5,9.0
base_grid,basic_compliance,0.2,6.5,1.5,12.0
base_grid,basic_compliance,0.2,6.5,1.5,15.0
base_grid,basic_compliance,0.2,6.5,2.5,9.0
base_grid,basic_compliance,0.2,6.5,2.5,12.0
base_grid,basic_compliance,0.2,6.5,2.5,15.0
base_grid,basic_compliance,0.2,6.5,3.5,9.0
base_grid,basic_compliance,0.2,6.5,3.5,12.0
base_grid,basic_compliance,0.2,6.5,3.5,15.0
base_grid,basic_compliance,0.2,8.0,0.5,9.0
base_grid,basic_compliance,0.2,8.0,0.5,12.0
base_grid,basic_compliance,0.2,8.0,0.5,15.0
base_grid,basic_compliance,0.2,8.0,1.5,9.0
base_grid,basic_compliance,0.2,8.0,1.5,12.0
base_grid,basic_compliance,0.2,8.0,1.5,15.0
base_grid,basic_compliance,0.2,8.0,2.5,9.0
base_grid,basic_compliance,0.2,8.0,2.5,12.0
base_grid,basic_compliance,0.2,8.0,2.5,15.0
base_grid,basic_compliance,0.2,8.0,3.5,9.0
base_grid,basic_compliance,0.2,8.0,3.5,12.0
base_grid,basic_compliance,0.2,8.0,3.5,15.0
base_grid,basic_compliance,0.4,3.5,0.5,9.0
base_grid,basic_compliance,0.4,3.5,0.5,12.0
base_grid,basic_compliance,0.4,3.5,0.5,15.0
base_grid,basic_compliance,0.4,3.5,1.5,9.0
base_grid,basic_compliance,0.4,3.5,1.5,12.0
base_grid,basic_compliance,0.4,3.5,1.5,15.0
base_grid,basic_compliance,0.4,3.5,2.5,9.0
base_grid,basic_compliance,0.4,3.5,2.5,12.0
base_grid,basic_compliance,0.4,3.5,2.5,15.0
base_grid,basic_compliance,0.4,3.5,3.5,9.0
base_grid,basic_compliance,0.4,3.5,3.5,12.0
base_grid,basic_compliance,0.4,3.5,3.5,15.0
base_grid,basic_compliance,0.4,5.0,0.5,9.0
