contract,contract_label,supplier_choice,supplier_payoff,buyer_payoff,supplier_payoff_high,supplier_payoff_low,supplier_payoff_none,buyer_payoff_high,buyer_payoff_low,buyer_payoff_none,c,cost_form,cost_floor,gamma,q,r,p,F,F_bar,B,S,S_bar,R,L,v,g,k,m,alpha,lam,beta,eta_penalty,r_low_share,confidentiality,B_L,contract_value,outside_option,experiment,optimal_contract,draw_id
basic_compliance,Basic compliance,none,4.2,-5.0,-9.899999999999999,-0.9825000000000004,4.2,8.739500000000001,-1.9505000000000001,-5.0,3.5,hyperbolic,0.25,2.0,0.2,0.5,0.05,1.0,10.0,0.25,0.0,3.0,9.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-9.899999999999999,-0.9825000000000004,5.4,8.739500000000001,-1.9505000000000001,-5.0,3.5,hyperbolic,0.25,2.0,0.2,0.5,0.05,1.0,10.0,0.25,0.0,3.0,9.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
basic_compliance,Basic compliance,none,4.2,-5.0,-9.899999999999999,-0.9825000000000004,4.2,11.739500000000001,-0.9005000000000006,-5.0,3.5,hyperbolic,0.25,2.0,0.2,0.5,0.05,1.0,10.0,0.25,0.0,3.0,12.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-9.899999999999999,-0.9825000000000004,5.4,11.739500000000001,-0.9005000000000006,-5.0,3.5,hyperbolic,0.25,2.0,0.2,0.5,0.05,1.0,10.0,0.25,0.0,3.0,12.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
basic_compliance,Basic compliance,none,4.2,-5.0,-9.899999999999999,-0.9825000000000004,4.2,14.739500000000001,0.1495,-5.0,3.5,hyperbolic,0.25,2.0,0.2,0.5,0.05,1.0,10.0,0.25,0.0,3.0,15.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-9.899999999999999,-0.9825000000000004,5.4,14.739500000000001,0.1495,-5.0,3.5,hyperbolic,0.25,2.0,0.2,0.5,0.05,1.0,10.0,0.25,0.0,3.0,15.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
basic_compliance,Basic compliance,none,4.2,-5.0,-10.799999999999999,-1.2975000000000003,4.2,8.739500000000001,-1.9505000000000001,-5.0,3.5,hyperbolic,0.25,2.0,0.2,1.5,0.05,1.0,10.0,0.25,0.0,3.0,9.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-10.799999999999999,-1.2975000000000003,5.4,8.739500000000001,-1.9505000000000001,-5.0,3.5,hyperbolic,0.25,2.0,0.2,1.5,0.05,1.0,10.0,0.25,0.0,3.0,9.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
basic_compliance,Basic compliance,none,4.2,-5.0,-10.799999999999999,-1.2975000000000003,4.2,11.739500000000001,-0.9005000000000006,-5.0,3.5,hyperbolic,0.25,2.0,0.2,1.5,0.05,1.0,10.0,0.25,0.0,3.0,12.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-10.799999999999999,-1.2975000000000003,5.4,11.739500000000001,-0.9005000000000006,-5.0,3.5,hyperbolic,0.25,2.0,0.2,1.5,0.05,1.0,10.0,0.25,0.0,3.0,12.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
basic_compliance,Basic compliance,none,4.2,-5.0,-10.799999999999999,-1.2975000000000003,4.2,14.739500000000001,0.1495,-5.0,3.5,hyperbolic,0.25,2.0,0.2,1.5,0.05,1.0,10.0,0.25,0.0,3.0,15.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-10.799999999999999,-1.2975000000000003,5.4,14.739500000000001,0.1495,-5.0,3.5,hyperbolic,0.25,2.0,0.2,1.5,0.05,1.0,10.0,0.25,0.0,3.0,15.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
basic_compliance,Basic compliance,none,4.2,-5.0,-11.7,-1.6125000000000003,4.2,8.739500000000001,-1.9505000000000001,-5.0,3.5,hyperbolic,0.25,2.0,0.2,2.5,0.05,1.0,10.0,0.25,0.0,3.0,9.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,4.2,base_grid,,
basic_compliance,Basic compliance,none,5.4,-5.0,-11.7,-1.6125000000000003,5.4,8.739500000000001,-1.9505000000000001,-5.0,3.5,hyperbolic,0.25,2.0,0.2,2.5,0.05,1.0,10.0,0.25,0.0,3.0,9.0,5.0,1.0,0.8,0.0,0.8,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid,,
